Sector,Stage_of_funding,Count
"3D Printing, Manufacturing, Product Design",Early Traction,0
"3D Printing, Manufacturing, Product Design",Exit Option,0
"3D Printing, Manufacturing, Product Design",Ideation,0
"3D Printing, Manufacturing, Product Design",Other,0
"3D Printing, Manufacturing, Product Design",Scaling,0
"3D Printing, Manufacturing, Product Design",Validation,1
Helathcare,Early Traction,0
Helathcare,Exit Option,0
Helathcare,Ideation,0
Helathcare,Other,0
Helathcare,Scaling,0
Helathcare,Validation,2
Higher Education,Early Traction,1
Higher Education,Exit Option,0
Higher Education,Ideation,0
Higher Education,Other,0
Higher Education,Scaling,0
Higher Education,Validation,1
Home Decor,Early Traction,1
Home Decor,Exit Option,0
Home Decor,Ideation,0
Home Decor,Other,0
Home Decor,Scaling,0
Home Decor,Validation,0
Hospitality,Early Traction,12
Hospitality,Exit Option,0
Hospitality,Ideation,0
Hospitality,Other,0
Hospitality,Scaling,4
Hospitality,Validation,2
